8567684,pozzp,espq",STUDENT,blocked,Mochi Johnson,11/21/1968,M,012-959-1976, ENG101 HIST103 MATH101
6942304,diqzi,G*kq8,ADVISOR,blocked
7470022,faqyg,}tkc),ADMIN,blocked
3055119,uzfwd,f2xLh,STUDENT,blocked,Emily Smith,3/12/1964,M,424-877-0240, PSYCH101 HIST102
3622323,brqjc,/2/^8,ADVISOR,blocked
0637532,fizne,nx(ko,ADMIN,blocked
4278631,ygioj,L\rA1,ADMIN,blocked
3395474,wfyta,1g&wE,ADVISOR,blocked
3588052,pjlmk,7$Tyc,STUDENT,blocked,Bob Johnson,11/27/1961,F,895-329-8908, ENG103
6361195,desld,$unRt,STUDENT,blocked,Mochi Johnson,13/7/2006,F,933-435-9965, MATH102 ENG101 ENG103
1234567,admin,pass123,ADMIN,blocked
2345678,advisor,pass234,ADVISOR,blocked
3456789,student,pass345,STUDENT,blocked, Jerica Steph, 05/16/2003, F, 555-555-5555, MATH101 CMPSC101
